customer_id,age,total_orders,total_quantity,total_net_sales,avg_order_value,avg_discount,total_interactions,avg_interaction_duration,review_count,avg_rating,total_tickets,avg_satisfaction,cluster
4c30e132-0704-4459-a509-9eddde934977,40.0,3.0,3.0,3565.7200000000003,1188.5733333333335,0.0,16.0,63.25,0.0,0.0,1.0,5.0,1
68bec407-275f-4b5b-9a82-13d02f54626a,33.0,9.0,12.0,8900.779999999999,988.9755555555554,2.7777777777777777,9.0,49.22222222222222,0.0,0.0,0.0,0.0,0
4466459f-76c8-433c-814e-6d59cb4131fc,42.0,4.0,6.0,3820.41,955.1025,0.0,28.0,85.60714285714286,0.0,0.0,0.0,0.0,1
04c36a25-02f3-462c-92b0-6bf291c57706,53.0,6.0,8.0,2267.96,377.9933333333333,2.9166666666666665,12.0,65.41666666666667,0.0,0.0,1.0,5.0,1
e916df3d-c3f5-40b0-8ae2-5d043be88300,32.0,15.0,19.0,8520.77,568.0513333333333,2.833333333333333,12.0,85.75,0.0,0.0,0.0,0.0,0
0709fd3c-d251-486e-8864-4b18dcd01e57,32.0,6.0,8.0,5802.17,967.0283333333332,5.833333333333333,17.0,77.94117647058823,0.0,0.0,0.0,0.0,1
d7c50fae-43b8-4945-86f8-b8f9d4d2d71a,53.0,6.0,7.0,3316.67,552.7783333333333,7.5,4.0,68.5,0.0,0.0,0.0,0.0,1
d61d8f7b-c2d0-4548-9f3b-da16dc3146ad,44.0,5.0,6.0,3375.49,675.098,4.5,11.0,74.45454545454545,0.0,0.0,1.0,4.0,1
fd54988d-3cca-4a02-9254-b4fa7a2d5451,29.0,1.0,2.0,1109.76,1109.76,12.5,48.0,68.375,0.0,0.0,1.0,4.0,1
a960dd54-ee35-4731-b29e-d8de6c5793dc,41.0,10.0,12.0,11658.105,1165.8105,4.75,11.0,120.63636363636364,1.0,5.0,1.0,4.0,0
e5249c67-3787-4ee6-ac59-f8d74639244b,29.0,8.0,9.0,3570.29,446.28625,4.375,16.0,90.875,0.0,0.0,1.0,4.0,1
dd0f406f-fb31-4d7c-b3ed-c59f45bf8f96,29.0,10.0,12.0,5640.02,564.0020000000001,1.25,12.0,69.33333333333333,0.0,0.0,1.0,3.0,0
359110d0-d634-4b39-8fef-36111b3742d2,37.0,10.0,13.0,4453.5,445.35,0.5,20.0,57.45,0.0,0.0,0.0,0.0,1
35dfe82b-dd9b-4841-821d-c6ca82c646eb,18.0,9.0,12.0,7257.780000000001,806.4200000000001,1.9444444444444444,15.0,76.86666666666666,0.0,0.0,0.0,0.0,0
dc46a263-7457-4572-a9d8-5eaaa2284b96,18.0,4.0,5.0,2208.835,552.20875,2.5,18.0,89.94444444444444,0.0,0.0,0.0,0.0,1
